iter	Passed	Remaining
591	13050	8994
592	13070	8971
593	13091	8947
594	13111	8924
595	13132	8901
596	13152	8878
597	13177	8858
598	13199	8836
599	13220	8813
600	13240	8790
601	13260	8767
602	13281	8744
603	13301	8720
604	13321	8697
605	13341	8674
606	13362	8651
607	13384	8629
608	13408	8608
609	13429	8585
610	13449	8562
611	13469	8539
612	13490	8516
613	13510	8493
614	13531	8470
615	13552	8448
616	13572	8424
617	13592	8401
618	13620	8383
619	13642	8361
620	13662	8338
621	13682	8315
622	13702	8292
623	13723	8269
624	13743	8246
625	13763	8223
626	13783	8199
627	13803	8176
628	13826	8155
629	13856	8137
630	13887	8121
631	13909	8099
632	13932	8077
633	13959	8058
634	13983	8037
635	14010	8018
636	14034	7997
637	14064	7980
638	14084	7957
639	14104	7933
640	14125	7911
641	14147	7889
642	14170	7867
643	14193	7845
644	14214	7823
645	14238	7802
646	14268	7785
647	14289	7761
648	14310	7739
649	14330	7716
650	14350	7693
651	14370	7670
652	14390	7647
653	14411	7624
654	14431	7601
655	14451	7578
656	14471	7555
657	14496	7534
658	14516	7511
659	14538	7489
660	14558	7466
661	14578	7443
662	14598	7420
663	14618	7397
664	14638	7374
665	14659	7351
666	14680	7329
667	14700	7306
668	14727	7286
669	14748	7263
670	14768	7241
671	14789	7218
672	14808	7195
673	14828	7172
674	14849	7149
675	14870	7127
676	14890	7104
677	14911	7081
678	14933	7059
679	14956	7038
680	14979	7016
681	14999	6993
682	15019	6971
683	15040	6948
684	15060	6925
685	15082	6903
686	15103	6881
687	15125	6859
688	15147	6837
689	15171	6816
690	15193	6794
691	15213	6771
692	15236	6749
693	15257	6727
694	15278	6704
695	15299	6682
696	15321	6660
697	15343	6638
698	15367	6617
699	15389	6595
700	15415	6575
701	15435	6552
702	15456	6529
703	15476	6507
704	15497	6484
705	15518	6462
706	15538	6439
707	15559	6417
708	15584	6396
709	15607	6374
710	15627	6352
711	15648	6329
712	15668	6307
713	15690	6284
714	15711	6262
715	15732	6240
716	15754	6218
717	15775	6195
718	15800	6175
719	15824	6154
720	15846	6132
721	15867	6109
722	15890	6088
723	15913	6066
724	15936	6044
725	15957	6022
726	15979	6000
727	16000	5978
728	16027	5958
729	16058	5939
730	16083	5918
731	16104	5896
732	16126	5874
733	16148	5852
734	16171	5830
735	16192	5808
736	16213	5785
737	16234	5763
738	16276	5748
739	16312	5731
740	16342	5712
741	16370	5692
742	16395	5671
743	16425	5651
744	16452	5631
745	16476	5610
